task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
34	0c/c862e7	55519	NFCORE_UPDHMM:UPDHMM:SV_MASK_BED:CUSTOM_BEDCONCAT (NDT0002)	COMPLETED	0	2026-01-15 08:37:43.714	4.8s	826ms	70.8%	14.6 MB	22.6 MB	49.6 MB	48.9 MB
33	f5/1fdec0	55520	NFCORE_UPDHMM:UPDHMM:SV_MASK_BED:CUSTOM_BEDCONCAT (NDT0001)	COMPLETED	0	2026-01-15 08:37:43.791	4.7s	518ms	65.4%	14.9 MB	22.6 MB	29.9 MB	29.2 MB
35	5e/95a91f	55521	NFCORE_UPDHMM:UPDHMM:SV_MASK_BED:BEDTOOLS_MERGE (NDT0002)	COMPLETED	0	2026-01-15 08:37:48.621	4.9s	0ms	59.4%	6.4 MB	12 MB	9.5 MB	9.2 MB
36	6d/fab0be	55522	NFCORE_UPDHMM:UPDHMM:SV_MASK_BED:BEDTOOLS_MERGE (NDT0001)	COMPLETED	0	2026-01-15 08:37:48.699	4.8s	0ms	49.5%	6 MB	12 MB	5.6 MB	5.4 MB
37	15/c31b74	55523	NFCORE_UPDHMM:UPDHMM:SV_MASK_BED:VIEW_MASK (NDT0002)	COMPLETED	0	2026-01-15 08:37:53.636	34.9s	19s	90.3%	43.3 MB	425.7 MB	103.8 MB	86.7 MB
38	8e/d30bdd	55524	NFCORE_UPDHMM:UPDHMM:SV_MASK_BED:VIEW_MASK (NDT0001)	COMPLETED	0	2026-01-15 08:37:53.712	34.8s	18.1s	89.2%	37.4 MB	418.1 MB	94.8 MB	84.6 MB
39	c1/7a072d	55525	NFCORE_UPDHMM:UPDHMM:FILTER_LOWCONF:BCFTOOLS_SETGT (NDT0002)	COMPLETED	0	2026-01-15 08:38:28.680	34.8s	21s	87.7%	24.4 MB	68.1 MB	172 MB	86.5 MB
40	76/d71614	55526	NFCORE_UPDHMM:UPDHMM:FILTER_LOWCONF:BCFTOOLS_SETGT (NDT0001)	COMPLETED	0	2026-01-15 08:38:28.751	34.8s	21s	85.4%	24.8 MB	68.1 MB	167.8 MB	84.4 MB
42	ad/532531	55528	NFCORE_UPDHMM:UPDHMM:FILTER_LOWCONF:BCFTOOLS_SETGT_VAF (NDT0001)	COMPLETED	0	2026-01-15 08:39:03.731	1m 10s	1m 6s	95.8%	85.5 MB	336.3 MB	2.6 GB	2.5 GB
43	3d/2ee193	55529	NFCORE_UPDHMM:UPDHMM:FILTER_LOWCONF:BCFTOOLS_VIEW_FILTER_ALL (NDT0001)	COMPLETED	0	2026-01-15 08:40:13.677	34.9s	17.9s	92.9%	37.4 MB	411.5 MB	84.8 MB	72.5 MB
41	da/65a6c9	55527	NFCORE_UPDHMM:UPDHMM:FILTER_LOWCONF:BCFTOOLS_SETGT_VAF (NDT0002)	COMPLETED	0	2026-01-15 08:39:03.653	2m 10s	1m 8s	96.9%	85.9 MB	336.3 MB	2.7 GB	2.6 GB
45	bc/c8c429	55531	NFCORE_UPDHMM:UPDHMM:FILTER_LOWCONF:BCFTOOLS_VIEW_FILTER_ALL (NDT0002)	COMPLETED	0	2026-01-15 08:41:13.663	34.9s	19.5s	93.4%	36.2 MB	411.6 MB	86.9 MB	73.9 MB
44	c0/dc6bcf	55530	NFCORE_UPDHMM:UPDHMM:EVENT_DETECTION:UPDHMM_VCFCHECK (NDT0001)	COMPLETED	0	2026-01-15 08:40:48.777	3m 35s	3m 10s	99.5%	5 GB	5.6 GB	118.2 MB	109.5 MB
46	4a/6a6b4d	55532	NFCORE_UPDHMM:UPDHMM:EVENT_DETECTION:UPDHMM_VCFCHECK (NDT0002)	COMPLETED	0	2026-01-15 08:41:48.762	3m 40s	3m 19s	99.6%	5.2 GB	5.8 GB	119.6 MB	114.8 MB
47	d9/c61e5d	55533	NFCORE_UPDHMM:UPDHMM:EVENT_DETECTION:UPDHMM_CALCULATEEVENTS (NDT0001)	COMPLETED	0	2026-01-15 08:44:23.694	3m 10s	2m 31s	277.6%	30.5 GB	66.7 GB	159 MB	3.1 MB
49	c8/a53c7a	55535	NFCORE_UPDHMM:UPDHMM:EVENT_DETECTION:UPDHMM_COLLAPSEEVENTS (NDT0001)	COMPLETED	0	2026-01-15 08:47:33.756	4.8s	488ms	55.6%	21.4 MB	105 MB	6.5 MB	13 KB
48	ca/aee819	55534	NFCORE_UPDHMM:UPDHMM:EVENT_DETECTION:UPDHMM_CALCULATEEVENTS (NDT0002)	COMPLETED	0	2026-01-15 08:45:28.692	3m 10s	2m 37s	273.8%	30.9 GB	67.2 GB	164.4 MB	3.2 MB
50	bd/c56ad4	55536	NFCORE_UPDHMM:UPDHMM:EVENT_DETECTION:UPDHMM_COLLAPSEEVENTS (NDT0002)	COMPLETED	0	2026-01-15 08:48:38.706	4.8s	463ms	54.3%	21.8 MB	105 MB	6.4 MB	6.4 KB
